,fecha_evento,tiempo_cmt,region,lat_cmt,lon_cmt,depth_cmt,id_evento,exp_cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento_sismico,strike_1,dip_1,rake_1,strike_2,dip_2,rake_2,Mw_cmt
33,2018/02/26,04:41:02.3,"NEW BRITAIN REGION, P.N.",-5.42,151.83,35.0,C201802260441A,24,2.770,-3.000,0.230,1.450,-0.336,-1.030,0.068,0.045,0.047,0.058,0.062,0.036,3.398,238,35,65,88,58,107.0,5.6
34,2018/02/26,08:26:59.3,"NEW GUINEA, PAPUA NEW GU",-6.43,143.27,23.6,C201802260826A,24,5.150,-2.670,-2.490,3.310,-2.540,2.930,0.044,0.044,0.045,0.128,0.126,0.037,6.770,319,26,98,130,64,86.0,5.8
35,2018/02/26,11:56:07.4,"NEW GUINEA, PAPUA NEW GU",-6.50,143.55,13.3,C201802261156A,24,4.480,-4.360,-0.118,2.010,-1.700,2.170,0.047,0.041,0.040,0.111,0.113,0.032,5.554,282,32,73,122,59,101.0,5.8
36,2018/02/26,13:34:53.2,CERAM SEA               ,-2.77,126.71,6.3,C201802261334A,25,0.869,-0.157,-0.712,0.378,-0.669,0.647,0.009,0.007,0.008,0.022,0.026,0.007,1.265,322,26,83,150,64,93.0,6.0
37,2018/02/26,15:17:59.5,"NEW GUINEA, PAPUA NEW GU",-6.49,143.26,13.8,C201802261517A,25,2.150,-1.480,-0.664,1.510,-1.220,1.120,0.016,0.017,0.017,0.047,0.046,0.015,2.939,302,24,85,128,66,92.0,6.2
38,2018/02/26,18:28:05.0,"NEW GUINEA, PAPUA NEW GU",-6.05,142.70,31.0,C201802261828A,24,1.460,-0.152,-1.310,1.440,-0.318,1.180,0.046,0.037,0.040,0.085,0.072,0.025,2.346,356,37,140,120,67,60.0,5.5
39,2018/02/27,05:17:58.3,VANUATU ISLANDS         ,-18.85,169.29,196.5,C201802270517A,24,1.450,0.431,-1.880,1.000,-0.348,-0.759,0.020,0.025,0.024,0.022,0.022,0.026,2.146,46,54,135,167,55,46.0,5.5
40,2018/02/27,06:19:12.2,"NEW GUINEA, PAPUA NEW GU",-6.42,143.05,10.0,C201802270619A,24,2.700,-1.880,-0.827,1.100,-1.170,2.170,0.034,0.031,0.035,0.097,0.103,0.027,3.534,301,32,79,134,59,97.0,5.6
41,2018/02/27,17:29:23.4,WEST OF MACQUARIE ISLAND,-60.18,150.73,10.0,C201802271729A,25,0.051,0.854,-0.904,-0.157,0.098,-1.010,0.008,0.008,0.009,0.021,0.023,0.007,1.352,249,84,175,340,85,6.0,6.0
42,2018/02/28,02:45:44.5,"NEW GUINEA, PAPUA NEW GU",-6.17,142.48,10.0,C201802280245A,25,0.953,-0.938,-0.015,1.450,-1.410,0.659,0.008,0.007,0.008,0.022,0.022,0.007,2.320,276,17,54,133,76,100.0,6.2
43,2018/03/02,02:20:12.9,BANDA SEA               ,-6.18,130.31,136.8,C201803020220A,25,0.277,-0.301,0.024,0.037,0.700,0.619,0.006,0.007,0.008,0.005,0.005,0.007,0.977,90,43,17,348,78,132.0,5.9
44,2018/03/02,03:01:23.2,"NEW GUINEA, PAPUA NEW GU",-6.06,142.53,28.7,C201803020301A,24,1.310,-1.380,0.078,0.841,-0.370,0.865,0.036,0.026,0.028,0.076,0.081,0.02,1.799,296,30,92,114,60,89.0,5.4
45,2018/03/04,14:33:21.2,"NEW GUINEA, PAPUA NEW GU",-6.07,142.72,6.0,C201803041433A,24,3.820,-1.350,-2.470,1.750,-1.330,1.710,0.029,0.029,0.031,0.090,0.091,0.025,4.357,332,31,104,136,60,82.0,5.7
46,2018/03/04,19:52:51.2,KURIL ISLANDS           ,44.87,148.03,107.1,C201803041952A,24,-0.611,0.640,-0.028,-1.090,-2.290,0.215,0.048,0.056,0.061,0.034,0.032,0.052,2.606,268,10,-30,28,85,-99.0,5.5
47,2018/03/04,19:56:18.1,"NEW GUINEA, PAPUA NEW GU",-6.31,142.62,10.0,C201803041956A,25,0.979,-0.744,-0.235,0.555,-0.166,0.387,0.006,0.006,0.006,0.017,0.019,0.005,1.126,304,30,100,113,60,84.0,6.0
48,2018/03/06,14:13:08.0,"NEW GUINEA, PAPUA NEW GU",-6.30,142.61,22.9,C201803061413A,26,0.851,-0.671,-0.180,0.903,-0.440,0.408,0.006,0.007,0.007,0.019,0.019,0.006,1.333,303,21,95,117,69,88.0,6.7
49,2018/03/07,04:40:12.2,EAST OF KURIL ISLANDS   ,45.83,152.29,29.4,C201803070440A,24,3.170,-0.543,-2.620,6.000,5.230,-1.920,0.075,0.068,0.079,0.099,0.096,0.065,8.695,191,14,55,48,79,98.0,5.9
