,fecha_evento,tiempo cmt,lat cmt,lon cmt,depth cmt,id evento,exp cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento sismico,strike 1,dip 1,rake 1,strike 2,dip 2,rake 2
48,2018/01/11,18:26:24.2,18.37,96.07,9.0,C201801111826A,25,0.884,-0.077,-0.807,-0.284,0.047,0.420,0.005,0.005,0.005,0.015,0.014,0.004,0.988,171,42,113,320,52,70.0
49,2018/01/12,06:26:40.5,-35.95,-101.73,10.0,C201801120626A,23,-0.516,-0.433,0.949,0.506,0.506,-1.860,0.144,0.109,0.111,0.253,0.226,0.077,2.149,283,71,-164,187,75,-20.0
50,2018/01/12,10:50:36.5,-7.56,68.07,10.0,C201801121050A,23,-0.491,-3.060,3.550,-0.101,-0.248,1.020,0.153,0.122,0.131,0.305,0.270,0.135,3.468,144,87,178,234,88,3.0
51,2018/01/12,13:00:05.7,-16.43,-174.28,147.1,C201801121300A,23,-2.420,4.820,-2.400,-0.586,-2.480,0.399,0.196,0.255,0.279,0.160,0.167,0.193,4.907,302,55,-31,52,65,-140.0
52,2018/01/13,01:35:21.0,51.81,178.02,71.0,C201801130135A,23,-0.538,-1.570,2.110,-1.240,-1.260,-1.830,0.178,0.156,0.123,0.094,0.077,0.098,3.165,117,59,-166,19,78,-32.0
53,2018/01/13,05:04:34.1,-64.63,175.86,10.0,C201801130504A,23,-5.250,3.580,1.670,-1.390,2.240,0.905,0.351,0.247,0.215,0.324,0.372,0.149,5.072,233,44,-118,89,52,-66.0
54,2018/01/13,05:31:58.7,0.07,-17.72,10.0,C201801130531A,23,-0.514,1.730,-1.220,-0.056,-0.167,-2.650,0.078,0.078,0.072,0.207,0.206,0.063,3.040,76,87,-177,345,87,-3.0
55,2018/01/13,07:42:41.5,-7.04,-12.58,10.0,C201801130742A,23,0.882,-1.660,0.776,-0.427,0.371,1.690,0.096,0.090,0.087,0.257,0.267,0.073,2.139,72,76,1,341,89,166.0
56,2018/01/13,11:24:34.7,-11.16,163.03,11.0,C201801131124A,24,-0.265,-0.948,1.210,0.735,-1.890,5.870,0.038,0.040,0.041,0.093,0.119,0.043,6.307,264,72,-5,356,85,-162.0
57,2018/01/13,14:05:39.0,-10.94,163.40,22.6,C201801131405A,23,-0.136,-0.275,0.411,0.222,-0.634,1.820,0.079,0.074,0.072,0.218,0.232,0.056,1.974,264,70,-6,356,84,-160.0
58,2018/01/13,19:52:05.4,-54.46,143.95,10.0,C201801131952A,23,0.075,0.443,-0.518,-0.282,-0.205,-1.910,0.094,0.090,0.103,0.260,0.249,0.062,1.998,353,82,-4,83,86,-172.0
59,2018/01/13,20:58:27.5,-4.93,151.76,100.8,C201801132058A,23,-0.500,-0.359,0.859,-1.180,-0.159,2.630,0.123,0.137,0.158,0.067,0.103,0.126,2.963,174,65,-174,82,85,-25.0
60,2018/01/14,09:18:45.5,-15.77,-74.71,39.0,C201801140918A,26,5.570,-3.120,-2.440,0.760,-1.530,3.390,0.024,0.017,0.018,0.045,0.054,0.012,6.127,305,38,79,139,53,98.0
61,2018/01/14,15:49:27.1,13.46,120.51,54.7,C201801141549A,24,1.100,-0.296,-0.808,0.551,-0.560,0.484,0.138,0.072,0.076,0.108,0.104,0.026,1.351,336,28,103,141,63,83.0
62,2018/01/14,19:41:53.2,25.08,123.72,10.0,C201801141941A,23,-4.470,3.900,0.570,-0.002,0.059,0.604,0.353,0.210,0.190,0.332,0.501,0.095,4.238,81,45,-89,259,45,-91.0
63,2018/01/14,21:54:36.0,-4.77,144.87,55.9,C201801142154A,24,-0.494,-1.390,1.880,0.526,1.410,-1.520,0.035,0.030,0.031,0.030,0.038,0.025,2.711,295,55,-172,200,84,-36.0
64,2018/01/15,02:28:34.6,-15.22,167.51,118.4,C201801150228A,24,1.410,0.072,-1.480,-0.345,-0.204,-0.197,0.016,0.020,0.020,0.016,0.018,0.023,1.514,355,42,71,199,51,106.0
65,2018/01/15,06:31:50.9,0.44,123.67,237.7,C201801150631A,24,0.410,-0.655,0.245,0.675,0.809,-0.325,0.022,0.021,0.026,0.021,0.023,0.022,1.240,287,25,153,42,79,67.0
66,2018/01/15,08:18:23.9,-15.71,-178.97,10.0,C201801150818A,23,0.686,-3.650,2.970,0.513,-0.044,7.490,0.141,0.149,0.131,0.358,0.347,0.126,8.204,348,87,-179,258,89,-3.0
67,2018/01/15,12:16:32.0,-15.75,-178.75,10.0,C201801151216A,23,0.767,-2.060,1.290,-0.663,0.632,0.867,0.107,0.102,0.082,0.292,0.266,0.089,2.111,60,59,11,324,80,149.0
68,2018/01/16,04:41:02.8,63.13,-172.30,12.3,C201801160441A,23,-1.030,4.600,-3.560,-0.231,-0.298,-0.073,0.148,0.167,0.123,0.198,0.178,0.102,4.103,315,84,-3,46,87,-174.0
69,2018/01/16,08:24:05.0,12.34,-89.58,10.0,C201801160824A,23,-2.350,2.010,0.337,0.104,-0.775,-0.798,0.137,0.090,0.078,0.204,0.289,0.054,2.461,98,42,-112,306,52,-71.0
70,2018/01/16,13:02:08.1,-4.67,144.06,85.2,C201801161302A,24,-0.806,0.205,0.602,0.185,-1.230,-0.927,0.020,0.022,0.025,0.014,0.016,0.021,1.700,109,31,-145,347,73,-64.0
71,2018/01/16,15:03:53.3,10.93,-86.35,22.0,C201801161503A,25,0.768,-0.482,-0.286,0.487,-0.375,0.456,0.009,0.006,0.007,0.011,0.011,0.005,1.016,310,26,92,128,64,89.0
72,2018/01/16,19:57:18.1,-19.45,-179.30,666.8,C201801161957A,25,-0.852,0.553,0.299,0.166,-0.312,-0.535,0.009,0.012,0.012,0.014,0.013,0.012,0.982,118,36,-106,318,56,-78.0
73,2018/01/17,01:25:18.8,34.99,86.96,10.0,C201801170125A,23,-3.370,-1.890,5.270,1.110,0.697,0.654,0.265,0.166,0.154,0.337,0.209,0.103,4.688,339,46,-129,209,56,-57.0
74,2018/01/17,11:28:56.0,-56.50,-143.50,10.0,C201801171128A,24,-0.237,1.500,-1.260,0.197,-0.095,1.010,0.024,0.027,0.021,0.049,0.045,0.021,1.725,27,82,-179,297,89,-8.0
75,2018/01/17,13:56:10.6,-17.68,167.86,10.0,C201801171356A,23,0.922,-0.658,-0.264,-3.030,0.297,1.970,0.224,0.151,0.161,0.307,0.167,0.097,3.708,172,31,163,277,81,60.0
76,2018/01/17,22:56:59.4,-30.02,-177.74,41.5,C201801172256A,25,0.727,-0.027,-0.700,0.041,0.348,-0.230,0.006,0.005,0.005,0.005,0.005,0.004,0.827,202,33,98,13,58,85.0
77,2018/01/18,01:51:01.0,27.46,141.83,50.7,C201801180151A,23,-0.953,-0.645,1.600,-0.352,-1.540,-1.210,0.174,0.179,0.181,0.090,0.089,0.126,2.402,118,41,-157,10,75,-52.0
